product_code,product_description,unit,country,quantity,value,page,column
0021000,"MUTTON, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,29656,8557,1,b
0021000,"MUTTON, FRESH, CHILLED, OR FROZEN-LB",LB,ICELAND,244,68,1,b
0021000,"MUTTON, FRESH, CHILLED, OR FROZEN-LB",LB,AUSTRAL,2251,506,1,b
0021000,"MUTTON, FRESH, CHILLED, OR FROZEN-LB",LB,N ZEAL –,50642,16201,1,b
0021000,"MUTTON, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,82793,25332,1,b
0022000,"LAMB, FRESH, CHILLED. OR FROZEN-LB",LB,CANADA,2683876,1585095,1,b
0022000,"LAMB, FRESH, CHILLED. OR FROZEN-LB",LB,ICELAND,1994889,845695,1,b
0022000,"LAMB, FRESH, CHILLED. OR FROZEN-LB",LB,IRELAND,271978,116940,1,b
0022000,"LAMB, FRESH, CHILLED. OR FROZEN-LB",LB,AUSTRAL,1479440,567725,1,b
0022000,"LAMB, FRESH, CHILLED. OR FROZEN-LB",LB,N ZEAL,222972,60933,1,b
0022000,"LAMB, FRESH, CHILLED. OR FROZEN-LB",LB,TOTAL,6653155,3176388,1,b
0023200,"REINDEER MEAT, FRESH, CHILLED, OR FROZEN-LB",LB,NORWAY,20780,8887,1,b
0023200,"REINDEER MEAT, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,20,8887,1,b
0023300,"VENISON, FRESH, CHILLED OR FROZEN-LB",LB,CANADA,10289,2759,1,b
0023300,"VENISON, FRESH, CHILLED OR FROZEN-LB",LB,TOTAL,10289,2759,1,b
0023500,"GAME, EXCEPT BIRDS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,198217,62691,1,b
0023500,"GAME, EXCEPT BIRDS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,IRELAND,3720,1013,1,b
0023500,"GAME, EXCEPT BIRDS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,POLAND,1130,226,1,b
0023500,"GAME, EXCEPT BIRDS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,AUSTRAL,2113511,558599,1,b
0023500,"GAME, EXCEPT BIRDS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,2316578,622529,1,b
0023600,"OFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,3421206,1444396,1,b
0023600,"OFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,"MEXICO 11,262CUBA",166855,2300,1,b
0023600,"OFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,NA,56063,1,b
X0023600,"XOFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,DOM REP,91056,24059,1,b
X0023600,"XOFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,ICELAND,10276,3010,1,b
X0023600,"XOFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,"IRELAND 30,363AUSTRAL",107591,33150,1,b
X0023600,"XOFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,N ZEAL –,20313,4067,1,b
X0023600,"XOFFAL, EDIBLE, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,3995443,1597408,1,b
0023800,"FROG LEGS, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,12375,13022,1,b
0023800,"FROG LEGS, FRESH, CHILLED, OR FROZEN-LB",LB,CUBA,253025,253463,1,b
0023800,"FROG LEGS, FRESH, CHILLED, OR FROZEN-LB",LB,CHINA,18,161,1,b
0023800,"FROG LEGS, FRESH, CHILLED, OR FROZEN-LB",LB,JAPAN,1158728,925848,1,b
0023800,"FROG LEGS, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,1424146,1192494,1,b
0023900,"MEATS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,96134,63144,1,b
0023900,"MEATS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,CUBA,2320,626,1,b
0023900,"MEATS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,DOM REP,4594,1155,1,b
0023900,"MEATS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,ICELAND,1100,570,1,b
0023900,"MEATS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,IRELAND,1150,345,1,b
0023900,"MEATS, NSPF, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,105298,65840,1,b
0024000,"TURKEYS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,992,556,1,c
0024000,"TURKEYS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,MEXICO,369,108,1,c
0024000,"TURKEYS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,DOM REP,241,133,1,c
0024000,"TURKEYS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,1602,797,1,c
0025400,"CHICKENS & GUINEAS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,3050,1649,1,c
0025400,"CHICKENS & GUINEAS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,JAPAN,873,502,1,c
0025400,"CHICKENS & GUINEAS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,AUSTRAL,700,494,1,c
0025400,"CHICKENS & GUINEAS, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,4623,2645,1,c
0025500,"DUCKS & GEESE, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,1295,591,1,c
0025500,"DUCKS & GEESE, DEAD, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,1295,591,1,c
0025900,"DEAD BIRDS, NSPF, INCL GAME, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,584,187,1,c
0025900,"DEAD BIRDS, NSPF, INCL GAME, FRESH, CHILLED, OR FROZEN-LB",LB,U KING,3134,6348,1,c
0025900,"DEAD BIRDS, NSPF, INCL GAME, FRESH, CHILLED, OR FROZEN-LB",LB,AUSTRAL,936,433,1,c
0025900,"DEAD BIRDS, NSPF, INCL GAME, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,4654,6968,1,c
0026200,"CHICKEN, WHOLE, PACKED IN AIRTIGHT CONTAINERS-LB",LB,CANADA,10,6,1,c
0026200,"CHICKEN, WHOLE, PACKED IN AIRTIGHT CONTAINERS-LB",LB,ARGENT,6735,5817,1,c
0026200,"CHICKEN, WHOLE, PACKED IN AIRTIGHT CONTAINERS-LB",LB,U KING,135,117,1,c
0026200,"CHICKEN, WHOLE, PACKED IN AIRTIGHT CONTAINERS-LB",LB,FRANCE,838,3990,1,c
0026200,"CHICKEN, WHOLE, PACKED IN AIRTIGHT CONTAINERS-LB",LB,HG KONG,424,649,1,c
0026200,"CHICKEN, WHOLE, PACKED IN AIRTIGHT CONTAINERS-LB",LB,JAPAN,4749,4160,1,c
0026200,"CHICKEN, WHOLE, PACKED IN AIRTIGHT CONTAINERS-LB",LB,TOTAL,12891,14739,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,CANADA -,970,637,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,MEXICO,4426,2112,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,ARGENT,15746,16141,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,NORWAY,1440,1011,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,DENMARK,433,259,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,U KING,2281,2424,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,BELGIUM -,736,1286,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,FRANCE,54793,194829,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,HUNGARY,4312,11690,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,SWITZLD,2300,13125,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,PT ASIA,1159,1631,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,CHINA,125567,131796,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,HG KONG,86651,112690,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,JAPAN,64093,58722,1,c
0026800,"BIRDS, INCLUDING POULTRY PREPARED OR PRESERVED, NSPF-LB",LB,TOTAL,364907,548353,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,CANADA DI DI DI DI DI DI DI DI DI DI DI DI DI,117565,53093,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,MEXICO,3634253,918360,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,BRAZIL,3185221,860606,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,PARAGUA,423579,125726,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,URUGUAY,15757116,4930064,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,ARGENT,130384153,41784797,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,DENMARK,88,32,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,U KING,88430,18972,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,IRELAND,131340,48362,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,NETHLDS,47170,26670,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,AUSTRAL,148116,30360,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,ALGERIA,17990,5500,1,c
0028000,"BEEF, CANNED, INCLUDING CORNED BEEF-LB",LB,TOTAL,153935021,48802542,1,c
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",LB,CANADA,269070,98649,1,c
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",LB,MEXICO,47214290,17898498,1,c
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",LB,BRAZIL,2543792,782958,1,c
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",LB,URUGUAY,2894681,834245,1,c
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",LB,ARGENT,11462461,2984203,1,c
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",LB,DENMARK,280523,99428,1,c
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",NA,NETHLDS,3774,1217,1,d
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",NA,FRANCE,69718,25391,1,d
0029000,"BEEF & VEAL, PICKLED OR CURED-LB",NA,TOTAL,64738309,22724589,1,d
0030100,"HAMS, BACON, ETC. NOT COOKED, BONED, OR CANNED, OR SAUSAGE-LB",LB,CANADA,4194595,2620593,1,d
0030100,"HAMS, BACON, ETC. NOT COOKED, BONED, OR CANNED, OR SAUSAGE-LB",LB,DENMARK,32732,19733,1,d
0030100,"HAMS, BACON, ETC. NOT COOKED, BONED, OR CANNED, OR SAUSAGE-LB",LB,U KING,12599,7400,1,d
0030100,"HAMS, BACON, ETC. NOT COOKED, BONED, OR CANNED, OR SAUSAGE-LB",LB,IRELAND,31686,13262,1,d
0030100,"HAMS, BACON, ETC. NOT COOKED, BONED, OR CANNED, OR SAUSAGE-LB",LB,NETHLDS,6331,5871,1,d
0030100,"HAMS, BACON, ETC. NOT COOKED, BONED, OR CANNED, OR SAUSAGE-LB",LB,POLAND,589,288,1,d
0030100,"HAMS, BACON, ETC. NOT COOKED, BONED, OR CANNED, OR SAUSAGE-LB",LB,TOTAL,4278532,2667147,1,d
0030500,"PORK SAUSAGE. EXCEPT FRESH PORK SAUSAGE, NES-LB",LB,CANADA,16094,16925,1,d
0030500,"PORK SAUSAGE. EXCEPT FRESH PORK SAUSAGE, NES-LB",LB,SWEDEN,551,307,1,d
0030500,"PORK SAUSAGE. EXCEPT FRESH PORK SAUSAGE, NES-LB",LB,DENMARK,211,238,1,d
0030500,"PORK SAUSAGE. EXCEPT FRESH PORK SAUSAGE, NES-LB",LB,FRANCE,661,735,1,d
0030500,"PORK SAUSAGE. EXCEPT FRESH PORK SAUSAGE, NES-LB",LB,ITALY,67094,60100,1,d
0030500,"PORK SAUSAGE. EXCEPT FRESH PORK SAUSAGE, NES-LB",LB,TOTAL,84611,78305,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,CANADA,7774374,6277953,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,ARGENT,384,300,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,SWEDEN,185763,147034,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,DENMARK,4137300,3380870,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,U KING,17064,12100,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,NETHLDS,15889790,12772716,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,BELGIUM,14374,9863,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,FRANCE,43720,39499,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,GERMANY,21888,16863,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,CZECHO,94026,58663,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,SWITZLD,20955,18088,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,POLAND,5123864,3955938,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,ITALY.,6647,5575,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,HG KONG,144,144,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,AUSTRAL,12892,7557,1,d
0030900,"HAMS, SHOULDERS, & BACON, NES-LB",LB,TOTAL,33343185,26703163,1,d
0031100,"PORK, PICKLED OR SALTED, NOT COOKED, BONED, CANNED, OR SAUSAGE-LB",LB,CANADA,253915,32256,1,d
0031100,"PORK, PICKLED OR SALTED, NOT COOKED, BONED, CANNED, OR SAUSAGE-LB",LB,POLAND,18844,3769,1,d
0031100,"PORK, PICKLED OR SALTED, NOT COOKED, BONED, CANNED, OR SAUSAGE-LB",LB,TOTAL,272759,36025,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,CANADA,62011,67573,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,"CUBA 4,094NORWAY",4600,508,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,DENMARK,3435,2326,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,NETHLDS,6739,4903,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,FRANCE,1662,1499,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,SWITZLD,130,71,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,ITALY,391953,358623,1,d
0031500,"PORK SAUSAGE, EXCEPT FRESH PORK SAUSAGE, PICKLED OR SALTED-LB",LB,TOTAL,471838,439597,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,CANADA,359170,233393,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,CUBA,2025,1819,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,DOM REP,1678,671,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,DENMARK,25344,19688,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,NETHLDS,262229,211769,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,FRANCE,1868,842,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,SWITZLD,8036,7884,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,ITALY,7677,6388,1,d
0031900,"PORK, PICKLED, SALTED, NES-LB",LB,TOTAL,668027,482454,1,d
0032100,"MEAT PASTE EXCEPT LIVER, PREP OR PRES, AIRTIGHT CONTAINERS-LB",LB,U KING,7097,3740,1,d
0032100,"MEAT PASTE EXCEPT LIVER, PREP OR PRES, AIRTIGHT CONTAINERS-LB",LB,FRANCE,390,300,1,d
0032100,"MEAT PASTE EXCEPT LIVER, PREP OR PRES, AIRTIGHT CONTAINERS-LB",LB,SWITZLD,602,567,1,d
0032100,"MEAT PASTE EXCEPT LIVER, PREP OR PRES, AIRTIGHT CONTAINERS-LB",LB,TOTAL,8089,4607,1,d
0032800,"FROG LEGS, PREPARED OR PRESERVED-LB",LB,CHINA,25,355,2,a
0032800,"FROG LEGS, PREPARED OR PRESERVED-LB",LB,TOTAL,25,355,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,CANADA,10857208,6107330,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,MEXICO,517089,209908,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,PANAMA,1200,1681,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,CUBA,1200,328,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,JAMAICA,144,86,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,DOM REP,5030,1464,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,N ANTIL,186,56,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,BRAZIL,92160,21065,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,URUGUAY,325984,132454,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,ARGENT,431238,167187,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,SWEDEN,9981,5387,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,NORWAY,2646,360,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,DENMARK,46070,26012,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,U KING,232870,47304,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,IRELAND,1648319,788247,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,NETHLDS,186999,118654,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,BELGIUM,129,121,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,FRANCE,31890,24447,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,GERMANY,27,27,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,SWITZLD,524,2348,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,ITALY,20677,15522,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,HG KONG,15,119,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,AUSTRAL,194039,47129,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,N ZEAL,286334,63678,2,a
0032900,"MEATS, CANNED, NES & PREPARED OR PRESERVED MEATS, NSPF-LB",LB,TOTAL,14891959,7780914,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,CANADA,113427,324582,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,MEXICO,23471,22481,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,CUBA,21762,7460,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,ECUADOR ·,100,313,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,PERU,41540,87313,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,BOLIVIA,317,289,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,CHILE,251002,494644,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,BRAZIL,4526,2356,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,URUGUAY,783,1610,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,ARGENT,466771,1001945,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,FALK IS,2200,6900,2,a
0034000,"SAUSAGE CASINGS, SHEEP, LAMB, & GOAT-LB",LB,ICELAND,154,38,2,a
